feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
carbon_monoxide_mass_mixing_ratio__max,0.11078484,0.015294074412069814,0.0006897155804882578,0.004727381213068482,0.03287400369241501
hydrophilic_black_carbon_aerosol_mixing_ratio__max,0.02820542,0.0461702417301201,0.0,0.05623490140147189,0.03265264098837428
metar_wind_speed_kn__max,0.08352046,0.025155700946348614,0.002803277588563,0.018245494477440657,0.03243123254022605
ozone_mass_mixing_ratio__last6_mean,0.08517838,0.023223438596309223,0.0,0.020746180208484042,0.032287000374878624
metar_relative_humidity__park_wmean,0.052427858,0.03577343342682484,0.0039667054898239506,0.029995423413275452,0.0305408551110417
nitrogen_monoxide_mass_mixing_ratio__max,0.05845621,0.020077615566973846,0.0,0.04283186984516439,0.030341423492257182
dust_aerosol_09_20_mixing_ratio__max,0.052446306,0.03391669337724834,1.569744802086424e-05,0.03219188068191414,0.02964264431474597
metar_relative_humidity__max,0.019637039,0.01550214099479489,0.0026116176245788774,0.0794574894365613,0.02930207174679641
metar_dew_point_c__last6_mean,0.07268309,0.025734829681778613,0.004030475335565297,0.014297528099417318,0.02918648039954687
sea_salt_aerosol_5_20_mixing_ratio__cumsum,0.050009955,0.0254178922153385,0.00024169556901250868,0.03940200184231633,0.02876788608685072
oh__max,0.061993297,0.026128341143378878,0.0,0.02237452181733615,0.027624040037547284
formaldehyde__max,0.069868736,0.011925236803284002,0.0,0.028627795049987675,0.027605441955584575
n_months_data,0.052224685,0.01277354598499102,0.0315696217500289,0.01267550242926262,0.02731083866773432
sulphur_dioxide_mass_mixing_ratio__last6_mean,0.027514616,0.015948945956346373,7.173304541977375e-06,0.06093233022008545,0.026100766377112047
metar_relative_humidity__mean,0.04819549,0.024369824326484095,0.0031222607880511456,0.026306438885879725,0.02549850318783739
sulphur_dioxide_mass_mixing_ratio__max,0.052133027,0.02110203844685231,0.00031189626158771057,0.02426557842317684,0.02445313514894206
oh__cumsum,0.052992366,0.024834539282825675,0.0,0.019865265583017024,0.02442304278004309
metar_dew_point_c__mean,0.009543577,0.08189107347364306,0.002789904572077226,0.0029024438283817744,0.024281749770804273
sea_salt_aerosol_5_20_mixing_ratio__last6_mean,0.042700436,0.02893967707385138,0.0,0.02330640074327909,0.02373662844584594
sea_salt_aerosol_5_20_mixing_ratio__mean,0.060915314,0.02641170208004467,0.0,0.007607882346245087,0.02373372452184706
hno3__cumsum,0.061935,0.027655983098796744,7.126155053958017e-05,0.004922673735307388,0.023646229626559295
dust_aerosol_09_20_mixing_ratio__last6_mean,0.036934745,0.02375060949242919,0.0,0.03168206220802095,0.023091854066782283
